CondensedString,MPE_rank,MPE_score,MAP_I_rank,MAP_I_score,MAP_I_para_theta,MRE_rank,MRE_score,ET_rank_for_tree,ET_rank_for_score,ET_score,ET_leaf,ET_ALPHA,ET_BETA,CET_rank_for_tree,CET_rank_for_score,CET_score,CET_leaf,CET_ALPHA
"""9190""",NaN,NaN,NaN,NaN,0.1,40.0,6.10147540984,NaN,12.0,0.376341887333,0,0.01,0.2,NaN,40.0,2.06404696559,0,0.01
"""9199""",NaN,NaN,NaN,NaN,0.1,38.0,15.4525,1.0,2.0,0.631939474491,0,0.01,0.2,NaN,38.0,2.65978638746,0,0.01
"""9011""",NaN,NaN,NaN,NaN,0.1,54.0,0.405674925465,NaN,65.0,0.00552090788263,0,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9010""",NaN,NaN,NaN,NaN,0.1,58.0,0.378052716514,9.0,45.5,0.0496881709437,1,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9019""",NaN,NaN,NaN,NaN,0.1,59.0,0.374418352992,NaN,43.0,0.0552090788263,0,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9001""",NaN,NaN,NaN,NaN,0.1,55.5,0.389868073879,NaN,59.5,0.0312851446682,0,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9000""",NaN,NaN,NaN,NaN,0.1,62.0,0.1773160666,7.0,29.5,0.281566302014,1,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9009""",NaN,NaN,NaN,NaN,0.1,63.0,0.13986013986,NaN,25.5,0.312851446682,0,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9091""",NaN,NaN,NaN,NaN,0.1,57.0,0.38637087358,12.0,54.5,0.0368060525509,1,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9090""",NaN,NaN,NaN,NaN,0.1,65.0,0.116190184987,6.0,22.5,0.331254472958,0,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9099""",NaN,NaN,NaN,NaN,0.1,67.0,0.0647144475004,4.0,14.0,0.368060525509,0,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9911""",NaN,NaN,NaN,NaN,0.1,50.0,3.0122968349,NaN,47.0,0.0438605459564,0,0.01,0.2,NaN,44.5,1.54796126942,0,0.01
"""9910""",NaN,NaN,NaN,NaN,0.1,43.0,4.17888513514,NaN,8.0,0.394744913608,0,0.01,0.2,NaN,44.5,1.54796126942,0,0.01
"""9919""",NaN,NaN,NaN,NaN,0.1,42.0,4.42724458204,NaN,6.0,0.438605459564,0,0.01,0.2,NaN,44.5,1.54796126942,0,0.01
"""9901""",NaN,NaN,NaN,NaN,0.1,46.0,3.56040816327,NaN,35.0,0.248543093753,0,0.01,0.2,NaN,44.5,1.54796126942,0,0.01
"""9900""",NaN,NaN,NaN,NaN,0.1,64.0,0.13986013986,NaN,25.5,0.312851446682,0,0.01,0.2,NaN,62.0,-1.28998197247,0,0.01
"""9909""",NaN,NaN,NaN,NaN,0.1,61.0,0.225874125874,NaN,5.0,0.561394540436,0,0.01,0.2,NaN,55.0,-0.598447807548,0,0.01
"""9991""",NaN,NaN,NaN,NaN,0.1,44.0,3.71911573472,NaN,28.0,0.29240363971,0,0.01,0.2,NaN,44.5,1.54796126942,0,0.01
"""9990""",NaN,NaN,NaN,NaN,0.1,60.0,0.268881118881,NaN,1.0,0.70759636029,0,0.01,0.2,NaN,54.0,-0.34699837428,0,0.01
